412 N 62nd St,Natural Gas Odor,04/08/2016 02:47:00 PM +0000,47.673867,-122.354186,"(47.673867, -122.354186)",F160039319
13510 Aurora Av N,Aid Response,04/08/2016 05:01:00 PM +0000,47.726943,-122.345018,"(47.726943, -122.345018)",F160039374
2708 14th Av S,Aid Response,04/08/2016 06:54:00 PM +0000,47.579391,-122.314682,"(47.579391, -122.314682)",F160039405
3rd Av / Blanchard St,Aid Response,04/08/2016 07:04:00 PM +0000,47.613936,-122.343494,"(47.613936, -122.343494)",F160039411
9300 Aurora Av N,Aid Response,04/08/2016 08:11:00 PM +0000,47.69636,-122.344591,"(47.69636, -122.344591)",F160039433
314 N 134th St,Aid Response,04/08/2016 08:24:00 PM +0000,47.726407,-122.354904,"(47.726407, -122.354904)",F160039440
2211 Alaskan Way,4RED - 2 + 1 + 1,04/08/2016 08:33:00 PM +0000,47.61084,-122.347741,"(47.61084, -122.347741)",F160039445
2024 3rd Av,Medic Response,04/09/2016 01:35:00 AM +0000,47.612578,-122.341197,"(47.612578, -122.341197)",F160039578
5453 26th Av Sw,Aid Response,04/09/2016 01:59:00 AM +0000,47.553253,-122.365575,"(47.553253, -122.365575)",F160039590
14356 Aurora Av N,Aid Response,04/09/2016 02:02:00 AM +0000,47.733156,-122.345086,"(47.733156, -122.345086)",F160039592
8437 25th Av Sw,Auto Fire Alarm,04/09/2016 02:49:00 AM +0000,47.527602,-122.364511,"(47.527602, -122.364511)",F160039612
12740 Greenwood Av N,Trans to AMR,04/09/2016 02:49:00 AM +0000,47.721656,-122.355544,"(47.721656, -122.355544)",F160039613
600 5th Av S,Aid Response,04/09/2016 02:54:00 AM +0000,47.597517,-122.327675,"(47.597517, -122.327675)",F160039618
1530 3RD AV,Medic Response,04/09/2016 04:12:00 AM +0000,47.610044,-122.338062,"(47.610044, -122.338062)",F160039647
1415 Ne 43rd St,Aid Response,04/09/2016 05:10:00 AM +0000,47.659791,-122.312996,"(47.659791, -122.312996)",F160039662
1660 12th Av,Aid Response Yellow,04/09/2016 05:47:00 AM +0000,47.615967,-122.316865,"(47.615967, -122.316865)",F160039673
Fauntleroy Way Sw / Sw Oregon St,Aid Response,04/03/2016 08:58:00 AM +0000,47.562872,-122.379285,"(47.562872, -122.379285)",F160037214
6th Av / Stewart St,Aid Response,04/03/2016 10:47:00 AM +0000,47.613622,-122.337015,"(47.613622, -122.337015)",F160037241
9025 42nd Av Ne,Aid Response Yellow,04/03/2016 11:06:00 AM +0000,47.693901,-122.282796,"(47.693901, -122.282796)",F160037245
2317 3rd Av,Medic Response,04/03/2016 06:04:00 PM +0000,47.61483,-122.345006,"(47.61483, -122.345006)",F160037340
12505 Greenwood Av N,Aid Response,04/03/2016 07:25:00 PM +0000,47.719638,-122.355539,"(47.719638, -122.355539)",F160037364
S Henderson St / Seward Park Av S,Medic Response,04/03/2016 09:44:00 PM +0000,47.523293,-122.264555,"(47.523293, -122.264555)",F160037400
4143 Sw Kenyon St,Aid Response,04/03/2016 09:45:00 PM +0000,47.532207,-122.38524,"(47.532207, -122.38524)",F160037401
Sw Roxbury St / 27th Av Sw,Aid Response,04/03/2016 10:23:00 PM +0000,47.517379,-122.367284,"(47.517379, -122.367284)",F160037410
1413 Belmont Av,Aid Response,04/03/2016 10:25:00 PM +0000,47.613123,-122.324446,"(47.613123, -122.324446)",F160037411
2030 3rd Av,Aid Response,04/03/2016 11:25:00 PM +0000,47.612626,-122.341277,"(47.612626, -122.341277)",F160037435
3610 33rd Av S,Medic Response,04/03/2016 11:56:00 PM +0000,47.571499,-122.290999,"(47.571499, -122.290999)",F160037446
RAINIER AV S / S MASSACHUSETTS ST,Medic Response,04/04/2016 12:04:00 AM +0000,47.588411,-122.305827,"(47.588411, -122.305827)",F160037449
9236 Renton Av S,Aid Response,04/04/2016 12:07:00 AM +0000,47.520401,-122.272876,"(47.520401, -122.272876)",F160037451
525 Minor Av N,Aid Response,04/04/2016 12:20:00 AM +0000,47.623398,-122.333002,"(47.623398, -122.333002)",F160037456
2119 3rd Av,Aid Response,04/04/2016 12:24:00 AM +0000,47.613308,-122.342432,"(47.613308, -122.342432)",F160037457
100 Pine St,Aid Response,04/04/2016 01:10:00 AM +0000,47.609814,-122.340922,"(47.609814, -122.340922)",F160037471
1107 1st Av,Aid Response,04/04/2016 03:16:00 AM +0000,47.605452,-122.336931,"(47.605452, -122.336931)",F160037514
23rd Av S / S Mcclellan St,MVI - Motor Vehicle Incident,04/04/2016 03:45:00 AM +0000,47.578351,-122.303325,"(47.578351, -122.303325)",F160037531
2525 S Willow St,Medic Response,04/04/2016 07:48:00 PM +0000,47.540912,-122.299832,"(47.540912, -122.299832)",F160037751
3029 26th Av W,Medic Response,04/04/2016 07:50:00 PM +0000,47.64707,-122.390235,"(47.64707, -122.390235)",F160037752
2929 1st Av,Auto Fire Alarm,04/04/2016 10:48:00 PM +0000,47.617141,-122.352885,"(47.617141, -122.352885)",F160037802
8th Av / Westlake Av,Aid Response,04/04/2016 11:01:00 PM +0000,47.61649,-122.337894,"(47.61649, -122.337894)",F160037809
1116 29th Av,Electrical Problem,04/04/2016 11:05:00 PM +0000,47.611736,-122.294928,"(47.611736, -122.294928)",F160037812
2822 Boyer Av E,Medic Response,04/04/2016 11:21:00 PM +0000,47.645894,-122.317073,"(47.645894, -122.317073)",F160037816
837 Ne Northgate Way,Aid Response,04/05/2016 12:43:00 AM +0000,47.708574,-122.320055,"(47.708574, -122.320055)",F160037857
2405 Nw Market St,Aid Response,04/05/2016 01:18:00 AM +0000,47.668679,-122.387628,"(47.668679, -122.387628)",F160037875
